class,line,x,y
1,1,26.008,73.616
1,1,27.421,63.722
1,1,29.925,47.821
1,1,32.445,34.393
1,1,34.882,22.733
1,1,39.711,0.824
1,2,26.042,88.339
1,2,28.402,71.025
1,2,30.855,55.948
1,2,33.055,43.934
1,2,35.558,31.92
1,2,38.011,20.73
1,2,40.177,12.132
1,2,42.909,0.471
1,3,26.414,99.529
1,3,30.703,71.025
1,3,34.882,47.939
1,3,38.789,29.8
1,3,42.359,15.194
1,3,44.008,8.834
2,1,26.055,70.601
2,1,28.879,51.67
2,1,31.141,38.864
2,1,33.83,25.056
2,1,36.424,12.918
2,1,39.184,0.223
2,2,26.04,85.635
2,2,28.705,67.038
2,2,31.441,50.445
2,2,34.573,33.853
2,2,38.005,17.929
2,2,42.205,0.223
2,3,26.008,99.777
2,3,30.223,71.492
2,3,33.972,50.111
2,3,37.626,32.628
2,3,40.552,19.933
2,3,43.96,6.236
3,1,26.17,66.799
3,1,26.459,64.628
3,1,26.729,62.563
3,1,26.990,60.589
3,1,27.245,58.692
3,1,27.519,56.597
3,1,27.80,54.436
3,1,28.059,52.655
3,1,28.358,50.755
3,1,28.660,48.833
3,1,28.95,46.950
3,1,29.258,45.046
3,1,29.537,43.278
3,1,29.832,41.407
3,1,30.154,39.490
3,1,30.453,37.884
3,1,30.778,36.082
3,1,31.09,34.368
3,1,31.40,32.678
3,1,31.71,30.982
3,1,32.03,29.302
3,1,32.37,27.732
3,1,32.708,26.133
3,1,33.064,24.470
3,1,33.38,22.993
3,1,33.736,21.346
3,1,34.058,19.842
3,1,34.393,18.316
3,1,34.72,16.785
3,1,35.08,15.146
3,1,35.40,13.688
3,1,35.76,12.053
3,1,36.101,10.578
3,1,36.454,9.174
3,1,36.80,7.802
3,1,37.15,6.389
3,1,37.515,4.957
3,1,37.85,3.641
3,1,38.209,2.225
3,1,38.481,1.105
3,2,26.29,81.7
3,2,26.65,78.8
3,2,26.96,76.3
3,2,27.33,73.3
3,2,27.66,70.7
3,2,28.02,67.8
3,2,28.38,65.4
3,2,28.77,62.8
3,2,29.13,60.5
3,2,29.53,57.9
3,2,29.90,55.4
3,2,30.31,52.9
3,2,30.70,50.6
3,2,31.11,48.2
3,2,31.50,45.9
3,2,31.90,43.5
3,2,32.32,41.3
3,2,32.75,39.2
3,2,33.17,37.1
3,2,33.62,34.8
3,2,34.02,32.8
3,2,34.47,30.9
3,2,34.91,28.9
3,2,35.34,26.9
3,2,35.78,25.0
3,2,36.22,23.0
3,2,36.64,21.1
3,2,37.09,19.0
3,2,37.51,17.1
3,2,37.95,15.2
3,2,38.40,13.4
3,2,38.86,11.5
3,2,39.30,9.83
3,2,39.78,7.93
3,2,40.21,6.23
3,2,40.67,4.39
3,2,41.12,2.56
3,2,41.50,1.09
3,3,26.33,97.24
3,3,26.74,93.79
3,3,27.13,90.47
3,3,27.50,87.34
3,3,27.89,84.02
3,3,28.31,80.89
3,3,28.77,77.63
3,3,29.17,74.77
3,3,29.58,71.85
3,3,30.04,68.65
3,3,30.50,65.89
3,3,30.96,63.15
3,3,31.44,60.31
3,3,31.88,57.71
3,3,32.39,54.96
3,3,32.85,52.53
3,3,33.35,49.91
3,3,33.83,47.42
3,3,34.34,44.90
3,3,34.80,42.67
3,3,35.33,40.13
3,3,35.81,37.84
3,3,36.33,35.45
3,3,36.81,33.34
3,3,37.34,30.98
3,3,37.85,28.72
3,3,38.37,26.36
3,3,38.87,24.12
3,3,39.41,21.68
3,3,39.90,19.49
3,3,40.43,17.20
3,3,40.95,14.97
3,3,41.46,12.80
3,3,42.00,10.49
3,3,42.47,8.490
3,3,43.02,6.160
3,3,43.53,3.961
3,3,43.87,2.566
4,1,26.054,64.661
4,1,28.793,45.295
4,1,31.648,28.665
4,1,34.876,13.239
4,1,38.034,0.109
4,2,26.054,80.525
4,2,28.747,59.3
4,2,31.276,43.982
4,2,33.883,31.51
4,2,36.8,18.271
4,2,40.183,4.158
4,2,41.153,0.219
4,3,26.023,96.827
4,3,29.01,72.757
4,3,32.362,52.516
4,3,37.188,29.54
4,3,40.757,14.223
4,3,43.868,1.532
5,1,26.055,61.513
5,1,28.443,43.715
5,1,31.186,27.364
5,1,33.912,14.238
5,1,37.215,0.111
5,2,26.055,77.419
5,2,28.743,56.73
5,2,31.422,39.933
5,2,34.606,24.36
5,2,37.9,9.789
5,2,40.067,0
5,3,25.992,93.882
5,3,29.357,67.631
5,3,32.399,48.721
5,3,35.662,32.481
5,3,38.751,18.576
5,3,42.826,0